,relevent_experience,company_size,training_hours
880,Has relevent experience,100-500,10
881,Has relevent experience,5000-9999,62
882,No relevent experience,no experience,17
883,Has relevent experience,1000-4999,54
884,No relevent experience,no experience,9
885,Has relevent experience,no experience,144
886,Has relevent experience,50-99,42
887,Has relevent experience,100-500,44
888,Has relevent experience,50-99,28
889,No relevent experience,<10,46
890,Has relevent experience,no experience,25
891,Has relevent experience,100-500,18
892,Has relevent experience,100-500,154
893,Has relevent experience,50-99,25
894,No relevent experience,50-99,30
895,Has relevent experience,100-500,48
896,No relevent experience,50-99,68
897,Has relevent experience,1000-4999,84
898,Has relevent experience,no experience,19
899,Has relevent experience,10000+,166
900,Has relevent experience,<10,19
901,Has relevent experience,<10,145
902,No relevent experience,50-99,44
903,Has relevent experience,10/49,35
904,Has relevent experience,10/49,22
905,No relevent experience,no experience,45
906,No relevent experience,no experience,21
907,No relevent experience,10000+,4
908,Has relevent experience,100-500,216
909,Has relevent experience,5000-9999,14
910,No relevent experience,no experience,50
911,Has relevent experience,100-500,139
912,Has relevent experience,no experience,11
913,Has relevent experience,no experience,77
914,Has relevent experience,1000-4999,8
915,No relevent experience,10000+,52
916,Has relevent experience,50-99,39
917,Has relevent experience,no experience,32
918,Has relevent experience,50-99,83
919,Has relevent experience,10/49,4
920,Has relevent experience,10000+,18
921,No relevent experience,no experience,49
922,Has relevent experience,10000+,166
923,Has relevent experience,10/49,32
924,Has relevent experience,10/49,14
925,Has relevent experience,100-500,140
926,Has relevent experience,500-999,20
927,Has relevent experience,500-999,23
928,Has relevent experience,<10,14
929,No relevent experience,no experience,45
930,Has relevent experience,10/49,52
931,Has relevent experience,1000-4999,142
932,Has relevent experience,1000-4999,131
933,Has relevent experience,1000-4999,314
934,No relevent experience,50-99,196
935,Has relevent experience,50-99,27
936,No relevent experience,no experience,61
937,No relevent experience,no experience,82
938,Has relevent experience,10/49,21
939,Has relevent experience,100-500,94
940,Has relevent experience,100-500,78
941,No relevent experience,no experience,77
942,Has relevent experience,no experience,105
943,Has relevent experience,10000+,22
944,Has relevent experience,10/49,12
945,No relevent experience,no experience,99
946,Has relevent experience,no experience,76
947,No relevent experience,no experience,9
948,Has relevent experience,100-500,162
949,No relevent experience,no experience,54
950,No relevent experience,no experience,78
951,Has relevent experience,no experience,140
952,Has relevent experience,500-999,5
953,Has relevent experience,no experience,110
954,No relevent experience,no experience,13
955,No relevent experience,no experience,37
956,Has relevent experience,500-999,3
957,Has relevent experience,50-99,85
958,Has relevent experience,50-99,14
959,Has relevent experience,10000+,94
960,Has relevent experience,no experience,9
961,Has relevent experience,100-500,167
962,Has relevent experience,10000+,14
963,No relevent experience,1000-4999,4
964,No relevent experience,10000+,87
965,Has relevent experience,10000+,17
966,Has relevent experience,100-500,23
967,No relevent experience,1000-4999,19
968,No relevent experience,10000+,10
969,No relevent experience,1000-4999,92
970,No relevent experience,no experience,43
971,No relevent experience,50-99,68
972,No relevent experience,no experience,33
973,Has relevent experience,no experience,154
974,Has relevent experience,<10,51
975,Has relevent experience,100-500,45
976,Has relevent experience,no experience,56
977,No relevent experience,10/49,23
978,Has relevent experience,<10,30
979,Has relevent experience,50-99,50
980,No relevent experience,no experience,14
981,Has relevent experience,no experience,12
982,Has relevent experience,1000-4999,163
983,Has relevent experience,10000+,17
984,Has relevent experience,100-500,29
985,Has relevent experience,500-999,52
986,Has relevent experience,50-99,120
987,No relevent experience,no experience,44
988,Has relevent experience,100-500,67
989,Has relevent experience,5000-9999,151
990,Has relevent experience,10000+,256
991,Has relevent experience,100-500,14
992,No relevent experience,no experience,14
993,Has relevent experience,50-99,81
994,Has relevent experience,100-500,37
995,Has relevent experience,500-999,22
996,No relevent experience,500-999,28
997,Has relevent experience,1000-4999,42
998,No relevent experience,no experience,50
999,Has relevent experience,10/49,105
1000,Has relevent experience,100-500,162
1001,Has relevent experience,100-500,6
1002,No relevent experience,<10,43
1003,Has relevent experience,10000+,41
1004,Has relevent experience,10000+,40
1005,Has relevent experience,50-99,50
1006,Has relevent experience,500-999,21
1007,Has relevent experience,no experience,83
1008,Has relevent experience,5000-9999,14
1009,Has relevent experience,no experience,26
1010,Has relevent experience,no experience,90
1011,No relevent experience,<10,122
1012,No relevent experience,no experience,37
1013,Has relevent experience,1000-4999,5
1014,Has relevent experience,100-500,78
1015,Has relevent experience,no experience,36
1016,Has relevent experience,50-99,156
1017,No relevent experience,1000-4999,14
1018,Has relevent experience,50-99,24
1019,Has relevent experience,10000+,97
1020,Has relevent experience,5000-9999,19
1021,Has relevent experience,100-500,57
1022,No relevent experience,no experience,3
1023,No relevent experience,100-500,24
1024,No relevent experience,100-500,34
1025,Has relevent experience,50-99,18
1026,Has relevent experience,100-500,53
1027,No relevent experience,no experience,40
1028,Has relevent experience,50-99,84
1029,Has relevent experience,no experience,154
1030,Has relevent experience,no experience,35
1031,No relevent experience,no experience,14
1032,No relevent experience,100-500,110
1033,No relevent experience,no experience,97
1034,Has relevent experience,10000+,75
1035,Has relevent experience,50-99,39
1036,No relevent experience,no experience,109
1037,No relevent experience,10000+,58
1038,No relevent experience,no experience,35
1039,Has relevent experience,100-500,22
1040,Has relevent experience,10000+,85
1041,Has relevent experience,100-500,50
1042,Has relevent experience,500-999,127
1043,Has relevent experience,100-500,276
1044,Has relevent experience,1000-4999,47
1045,Has relevent experience,10000+,16
1046,Has relevent experience,100-500,14
1047,No relevent experience,no experience,26
1048,Has relevent experience,500-999,64
1049,No relevent experience,no experience,10
1050,Has relevent experience,5000-9999,88
1051,Has relevent experience,500-999,46
1052,Has relevent experience,500-999,29
1053,Has relevent experience,no experience,31
1054,Has relevent experience,100-500,9
1055,Has relevent experience,50-99,28
1056,Has relevent experience,10000+,121
1057,No relevent experience,1000-4999,83
1058,Has relevent experience,500-999,23
1059,Has relevent experience,100-500,28
1060,No relevent experience,no experience,47
1061,Has relevent experience,50-99,141
1062,Has relevent experience,50-99,162
1063,Has relevent experience,10/49,45
1064,No relevent experience,no experience,47
1065,Has relevent experience,100-500,32
1066,Has relevent experience,100-500,12
1067,Has relevent experience,no experience,84
1068,Has relevent experience,<10,69
1069,Has relevent experience,1000-4999,24
1070,No relevent experience,no experience,3
1071,No relevent experience,no experience,58
1072,Has relevent experience,500-999,28
1073,No relevent experience,no experience,18
1074,Has relevent experience,no experience,17
1075,No relevent experience,no experience,80
1076,No relevent experience,no experience,124
1077,No relevent experience,no experience,47
1078,Has relevent experience,100-500,91
1079,Has relevent experience,10/49,46
1080,No relevent experience,no experience,13
1081,Has relevent experience,100-500,136
1082,Has relevent experience,no experience,3
1083,Has relevent experience,10000+,94
1084,Has relevent experience,50-99,70
1085,No relevent experience,50-99,60
1086,Has relevent experience,no experience,65
1087,Has relevent experience,no experience,65
1088,Has relevent experience,50-99,37
1089,Has relevent experience,50-99,57
1090,No relevent experience,10000+,10
1091,Has relevent experience,100-500,29
1092,Has relevent experience,<10,18
1093,Has relevent experience,10/49,11
1094,No relevent experience,no experience,46
1095,No relevent experience,no experience,20
1096,No relevent experience,no experience,70
1097,Has relevent experience,<10,144
1098,Has relevent experience,<10,152
1099,Has relevent experience,no experience,13
1100,Has relevent experience,50-99,42
1101,No relevent experience,no experience,55
1102,Has relevent experience,500-999,162
1103,Has relevent experience,10/49,44
1104,Has relevent experience,10/49,24
1105,Has relevent experience,10/49,188
1106,No relevent experience,no experience,18
1107,Has relevent experience,10000+,155
1108,Has relevent experience,no experience,316
1109,Has relevent experience,no experience,55
1110,Has relevent experience,<10,130
1111,Has relevent experience,100-500,7
1112,Has relevent experience,100-500,10
1113,Has relevent experience,<10,46
1114,Has relevent experience,10000+,38
1115,Has relevent experience,10/49,22
1116,No relevent experience,10/49,156
1117,No relevent experience,no experience,28
1118,Has relevent experience,1000-4999,99
1119,No relevent experience,10000+,72
1120,Has relevent experience,100-500,20
1121,Has relevent experience,1000-4999,178
1122,No relevent experience,10/49,12
1123,Has relevent experience,1000-4999,50
